Ticker,Name,FCF:2015,FCF:2016,FCF:2017,FCF:2018,GICS Sector,GICS Ind,GICS Ind Grp,Total Liab To Total Liab & Equity:2015,Total Liab To Total Liab & Equity:2016,Total Liab To Total Liab & Equity:2017,Total Liab To Total Liab & Equity:2018,Market Cap:2015,Market Cap:2016,Market Cap:2017,Market Cap:2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLF US Equity,ACUSHNET HOLDINGS CORP,68629000,85094000,-45882000,130932000,25,252020,2520,81.5493,55.7173,50.7486,45.2014, ,1460384768,1570024064,1575194496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAD US Equity,ADAIAH DISTRIBUTION INC, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADMS US Equity,ADAMAS PHARMACEUTICALS INC,-48609000,-49692000,0,0,35,352010,3520,9.7528,7.2224, , ,524074688,372030592,771976896,234289424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADMV US Equity,ADAMAS VENTURES INC, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAP US Equity,ADAPTIMMUNE THERAPEUTICS-ADR,-28788652,-59674000,-78958000,-108298000,35,352010,3520,13.6588,29.1551,27.8015,10.7868, ,1720339072,3754957056,3607862016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOTS US Equity,ADESTO TECHNOLOGIES CORP,-7686000,-7339000,-3057000,-20887000,45,453010,4530,50.9812,64.5649,45.8166,54.2657,115455072,28664470,137332320,129545088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRO US Equity,ADURO BIOTECH INC,152636000,-109963000,-94010000,-71124000,35,352010,3520,45.7019,48.1956,46.6506,62.1512,1789361664,774268032,583021504,210069328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADSW US Equity,ADVANCED DISPOSAL SERVICES I,64800000,66000000,119900000,119700000,20,202010,2020,85.688,75.385,74.6772,74.166, ,1956133504,2118479232,2123140864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WMS US Equity,ADVANCED DRAINAGE SYSTEMS IN,42299000,90400000,52943000,95411000,20,201020,2010,70.222,68.2571,66.5067,58.4172,1602448640,1159508096,1211902208,1462728448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVM US Equity,ADVERUM BIOTECHNOLOGIES INC,-38330000,-40778000,-46437000,-54773000,35,352010,3520,4.4367,8.0922,8.8542,5.7744,246175040,121234528,171553680,198341232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGLE US Equity,AEGLEA BIOTHERAPEUTICS INC,-11190000,-19052000,-25234000,-32615000,35,352010,3520,6.597,6.1092,10.2359,13.2636, ,58424124,90185720,180809328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
